"","V1"
"AUC",0.854804559020554
"balAccuracy",0.745154739497309
"EMP",0.248785110388105
"acceptedLoans",0.559298213595682
"profit",1964897
"profitPerLoan",43.6643777777778
"profitPerEUR",0.0436643777777778
"statParityDiff",0.242367634633455
"averageOddsDiff",0.133842196503256
"predParityDiff",0.0151262765714925
