"","V1"
"AUC",0.733393525821404
"balAccuracy",0.668290751132734
"EMP",0.24336414368862
"acceptedLoans",0.558835570659565
"profit",44188.8475419264
"profitPerLoan",0.478991128210446
"profitPerEUR",0.0366519935419179
"statParityDiff",0.350170516104721
"averageOddsDiff",0.267965618144465
"predParityDiff",0.00574137038038669
