"","glm","rf","xgbTree","nnet"
"AUC",0.5,0.65256139265678,0.681107600576661,0.669084498770809
"balAccuracy",0.5,0.65256139265678,0.681107600576661,0.669084498770809
"EMP",0.185323385374054,0.185636201365024,0.185764990255031,0.185707008863155
"acceptedLoans",0.577602037513792,0.579968270425819,0.580942467778371,0.580503879337551
"profit",-87111829.9264,16878378.1492,23921177.2126,17212911.3264
"profitPerLoan",-12338.7861085552,2390.70512028329,3388.26872699717,2438.08942300283
"profitPerEUR",-0.209185591649074,0.040530815644675,0.0574430087439085,0.0413341453492392
"statParityDiff",0,0.231446920906783,0.181798498689005,0.216214465195224
"averageOddsDiff",0,0.219368321461394,0.190544571389619,0.217459122337288
"predParityDiff",NA,0.0518539654667837,0.0669042204383888,0.0660934548320442
