"","glm","rf","xgbTree","nnet"
"AUC",0.679695118534677,0.666667538792174,0.687003457479054,0.680646357380255
"balAccuracy",0.679695118534677,0.666667538792174,0.687003457479054,0.680646357380255
"EMP",0.243323577754214,0.243313225330548,0.243326849582885,0.243327678447748
"acceptedLoans",0.558528717903089,0.558450409100779,0.55855346698532,0.558559736764924
"profit",41744.5694290403,41669.0391658388,43029.3076522715,41112.515381084
"profitPerLoan",0.452496037342991,0.451677316602411,0.466422135108196,0.445644800020422
"profitPerEUR",0.0346246117342536,0.0345619639198598,0.0356902248850887,0.0341003608842658
"statParityDiff",0.0167030280402262,0.0625915862035588,0.0335773673093344,0.0186462976599151
"averageOddsDiff",0.0370370705020082,0.0240486508393055,0.0107553519342909,0.0248433713476838
"predParityDiff",0.0335893435129846,0.0253130274099349,0.0277429771632902,0.0295665581311533
