"","glm","rf","xgbTree","nnet"
"AUC",0.812595088024343,0.838703542708107,0.834764181699631,0.815692240817214
"balAccuracy",0.742447294066507,0.751738752445121,0.738915453162356,0.736579004564225
"EMP",0.169438807486189,0.170743065291401,0.170323809830514,0.168951724547763
"acceptedLoans",0.622091558090186,0.616897940580442,0.620960434623155,0.616598651647227
"profit",55999.159,54543.0802,56546.8398,46937.2706
"profitPerLoan",186.663863333333,181.810267333333,188.489466,156.457568666667
"profitPerEUR",0.0569482007657614,0.0554674451738217,0.0575051633471808,0.0477327366563786
"statParityDiff",0.469941180964021,0.526544954548927,0.724696356275304,0.720647773279352
"averageOddsDiff",0.359473697464179,0.402028027498678,0.602370879605147,0.599682707562136
"predParityDiff",0.0445736434108527,0.111757105943152,NA,NA
