"","glm","rf","xgbTree","nnet"
"AUC",0.569946932550688,0.562669792768198,0.574761165150435,0.565995731006953
"balAccuracy",0.569946932550689,0.562669792768198,0.574761165150435,0.565995731006953
"EMP",0.173336293611276,0.173329810077231,0.173351981954527,0.173328169993862
"acceptedLoans",0.583375598469559,0.583326555095546,0.583494269749825,0.583314149018621
"profit",121735.6,126029.6,185764.6,134067.6
"profitPerLoan",8.11570666666667,8.40197333333334,12.3843066666667,8.93784000000001
"profitPerEUR",0.00811570666666667,0.00840197333333334,0.0123843066666667,0.00893784000000001
"statParityDiff",0.0309909127113427,0.10787778529714,0.126924714738335,0.0170582106065977
"averageOddsDiff",0.00275480259611244,0.092015201198785,0.099409341011506,0.0103895414564906
"predParityDiff",0.123084700239009,0.0905871918452673,0.10946379449043,0.121637307002708
