"","glm","rf","xgbTree","nnet"
"AUC",0.793740491197566,0.797571180178222,0.781895240165182,0.789991306237774
"balAccuracy",0.737774396870246,0.713323190610737,0.715659639208868,0.727287546185612
"EMP",0.167131065357906,0.168809808722619,0.16757872791395,0.167277896145927
"acceptedLoans",0.611868979005848,0.615525158264895,0.605621221033411,0.612979650624766
"profit",50425.5182,42261.1596,49134.1098,52371.947
"profitPerLoan",168.085060666667,140.870532,163.780366,174.573156666667
"profitPerEUR",0.0512801010845744,0.0429773775976651,0.0499668066325311,0.0532595168482765
"statParityDiff",0.141012909632572,0.0493468795355588,0.129936597662516,0.0682148040638607
"averageOddsDiff",0.0205545063080759,0.0604039183097883,0.23738107829065,0.0459124675782528
"predParityDiff",0.211538461538462,0.228070175438597,0.21923774954628,0.211660617059891
