"","glm","rf","xgbTree","nnet"
"AUC",0.5,0.650598111023083,0.678603302603182,0.661853223582145
"balAccuracy",0.5,0.650598111023083,0.678603302603182,0.661853223582145
"EMP",0.185323385374054,0.185628395503167,0.185752124314973,0.185674811713337
"acceptedLoans",0.577602037513792,0.579909224572134,0.580845145992754,0.580260330549211
"profit",-87111829.9264,17040957.3024,21737499.5878,15828254.654
"profitPerLoan",-12338.7861085552,2413.73332895184,3078.96594728045,2241.96241558074
"profitPerEUR",-0.209185591649074,0.0409212243455447,0.0521992445352979,0.0380091064252314
"statParityDiff",0,0.246005517120545,0.208683094337498,0.224006819204962
"averageOddsDiff",0,0.235718906011555,0.218092536962128,0.217079269557634
"predParityDiff",NA,0.0585226238247482,0.0755048207637931,0.0568342003691895
