"","V1"
"AUC",0.789623551488838
"balAccuracy",0.720350672007597
"EMP",0.188256395186924
"acceptedLoans",0.60376932052012
"profit",38103580.78
"profitPerLoan",5397.1077592068
"profitPerEUR",0.0914998582413773
"statParityDiff",0.116901298903321
"averageOddsDiff",0.0801541379779515
"predParityDiff",0.0227803814429856
