"","glm","rf","xgbTree","nnet"
"AUC",0.789046717171717,0.783220223063973,0.780155723905724,0.796522516835017
"balAccuracy",0.716508838383838,0.713383838383838,0.705989583333333,0.72131734006734
"EMP",0.154686179847785,0.154708698228646,0.154720777253038,0.155237954548548
"acceptedLoans",0.613289199648785,0.611722480929745,0.611619060009791,0.618042005240833
"profit",16304793.699,15223020.8642,14987018.0816,16787114.9202
"profitPerLoan",17401.060511206,16246.5537504803,15994.6831180363,17915.8110140875
"profitPerEUR",0.0666110780171359,0.0621916381869895,0.0612274800348385,0.0685815375695707
"statParityDiff",0.400108984401608,0.395295506663942,0.310196853075404,0.446268419499126
"averageOddsDiff",0.317084262780102,0.315556291309519,0.235743206259706,0.365816313449025
"predParityDiff",0.0887681159420289,0.0500521376433786,0.0537037037037037,0.0395796064400715
