"","glm","rf","xgbTree","nnet"
"AUC",0.604656543884724,0.58395256337569,0.605038845035663,0.60455486718902
"balAccuracy",0.574942646765093,0.559114563675561,0.575986917567773,0.573733306818459
"EMP",0.173426750128462,0.173362362814251,0.173430938629409,0.173428380022809
"acceptedLoans",0.583987499721095,0.583572793650914,0.584055352117567,0.58399982872523
"profit",212501.4,128060.6,217049.2,206071
"profitPerLoan",14.16676,8.53737333333334,14.4699466666667,13.7380666666667
"profitPerEUR",0.01416676,0.00853737333333334,0.0144699466666667,0.0137380666666667
"statParityDiff",0.406799758054238,0.305518986522571,0.419036028355025,0.394864262247775
"averageOddsDiff",0.375948663689425,0.286639400172634,0.39365867850038,0.368161164453348
"predParityDiff",0.10339112905758,0.0877360441623316,0.0681031439048011,0.0854322431240262
