"","glm","rf","xgbTree","nnet"
"AUC",0.607179595574147,0.58928290771209,0.613246393385477,0.604182897256482
"balAccuracy",0.577834501068147,0.56433486959434,0.581140076325706,0.574161367089474
"EMP",0.173438260005829,0.173381562161249,0.173443788594157,0.173421952165924
"acceptedLoans",0.584074563846411,0.583718023204607,0.584188722394534,0.583987375843096
"profit",225891,151392,243024.6,208482.4
"profitPerLoan",15.0594,10.0928,16.20164,13.8988266666667
"profitPerEUR",0.0150594,0.0100928,0.01620164,0.0138988266666667
"statParityDiff",0.488946868875184,0.336458311368706,0.528971095279339,0.497491755556272
"averageOddsDiff",0.458673397362888,0.324398939583536,0.496158979692967,0.466715066868701
"predParityDiff",0.0777244531984949,0.0454699901286795,0.073240295392994,0.0950387264253972
