"","glm","rf","xgbTree","nnet"
"AUC",0.820202129971745,0.816751793088459,0.826124755487937,0.791947402738535
"balAccuracy",0.745924798956749,0.738915453162356,0.734296891980004,0.688871984351228
"EMP",0.168516612444437,0.168982690066331,0.169488958696309,0.166863512240738
"acceptedLoans",0.621741273155096,0.614432740390802,0.62066245004772,0.607444984271848
"profit",53463.4284,49381.7424,54329.8338,41859.5926
"profitPerLoan",178.211428,164.605808,181.099446,139.531975333333
"profitPerEUR",0.057647669171473,0.0532465357007689,0.0585818825835627,0.0451356753218886
"statParityDiff",0.393094492399358,0.380948743411504,0.355358643342755,0.324344969826598
"averageOddsDiff",0.286952859409232,0.263585530457556,0.262255672231875,0.225619727531414
"predParityDiff",0.0135728542914172,0.156910569105691,0.0140894681225784,0.254742547425474
