"","glm","rf","xgbTree","nnet"
"AUC",0.811073679634862,0.815637904803304,0.821180178222126,0.791675722668985
"balAccuracy",0.741251901760487,0.738915453162356,0.752879808737231,0.735437948272115
"EMP",0.167741992527012,0.16878232595524,0.169292325391876,0.166821922304878
"acceptedLoans",0.611673208121625,0.611108660175791,0.619175057427202,0.607130385664735
"profit",43905.4546,39167.6492,38704.4692,52414.735
"profitPerLoan",146.351515333333,130.558830666667,129.014897333333,174.715783333333
"profitPerEUR",0.0469715708594195,0.041902903102948,0.0414073771509023,0.0560750927546527
"statParityDiff",0.224581773737682,0.266366205790238,0.308150637842793,0.228630356733634
"averageOddsDiff",0.107153685376848,0.145556143134144,0.188244315177155,0.115350406688323
"predParityDiff",0.171461449942463,0.19937106918239,0.122222222222222,0.165809033733562
