"","glm","rf","xgbTree","nnet"
"AUC",0.854117303201331,0.84227185839226,0.859464280750288,0.857282808583149
"balAccuracy",0.742898120766942,0.727903009466837,0.744673397095436,0.747142101002922
"EMP",0.248776814652984,0.248770469072405,0.248787642598901,0.24879692563557
"acceptedLoans",0.559263631049974,0.559239744085765,0.559345536843592,0.559403700041124
"profit",1953918.8,1420697.6,1963543.2,1976382.8
"profitPerLoan",43.4204177777778,31.5710577777778,43.6342933333333,43.9196177777778
"profitPerEUR",0.0434204177777778,0.0315710577777778,0.0436342933333333,0.0439196177777778
"statParityDiff",0.193086070201062,0.0505773654787037,0.153853381818907,0.273862653563266
"averageOddsDiff",0.103657026786564,0.0133230840894707,0.0754706983144948,0.154381271705773
"predParityDiff",0.0140255825268292,0.0131276082754475,0.0146271148752238,0.0146546383710909
