"","glm","rf","xgbTree","nnet"
"AUC",0.811019343620952,0.814279504455553,0.815420560747664,0.787491849597914
"balAccuracy",0.741251901760487,0.738915453162356,0.765703108019996,0.736579004564225
"EMP",0.167780865255982,0.168246005182007,0.169139262792125,0.16698549095592
"acceptedLoans",0.61196725297011,0.612477170817,0.613808636249058,0.607759272586385
"profit",43452.991,40814.2784,52695.4252,52628.9882
"profitPerLoan",144.843303333333,136.047594666667,175.651417333333,175.429960666667
"profitPerEUR",0.0468537788287254,0.0440085510617123,0.0568195592705331,0.0567479226712471
"statParityDiff",0.224581773737682,0.289282713314491,0.247498281261936,0.285234130318539
"averageOddsDiff",0.107153685376848,0.181404270856941,0.118824758882929,0.155761879579965
"predParityDiff",0.171461449942463,0.0980263157894736,0.150044923629829,0.27408142999007
